"","ent","year","migr","equal_marriage","from_equal","from_non_equal","unempl","income","lgbt","discrim","dm_migr","dm_unemp","dm_income","Estado","Vivienda"
"872",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",103.79
"873",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",111.07
"874",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",119.71
"875",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",129.81
"876",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",137.86
"877",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",97.38
"878",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",105.29
"879",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",112.82
"880",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",119.78
"881",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",127.38
"882",27,2017,0.0419002655650634,0,14,127,0.512591575091575,6311.04534853589,0.292682926829268,0.0833333333333333,0.0130304855507539,0.00302121275414569,0.00302121275414569,"Tabasco",134.15
"883",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",97.38
"884",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",105.29
"885",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",112.82
"886",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",119.78
"887",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",127.38
"888",27,2018,0.0280403276622558,0,17,71,0.500709219858156,6138.90526315789,0.292682926829268,0.0833333333333333,-0.000829452352053672,-0.00886114247927339,-0.00886114247927339,"Tabasco",134.15
"889",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",97.38
"890",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",105.29
"891",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",112.82
"892",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",119.78
"893",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",127.38
"894",27,2019,0.021780303030303,0,30,38,0.511716426787201,6264.34836065574,0.292682926829268,0.0833333333333333,-0.00708947698400647,0.00214606444977183,0.00214606444977183,"Tabasco",134.15
"895",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",97.38
"896",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",105.29
"897",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",112.82
"898",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",119.78
"899",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",127.38
"900",27,2020,0.0327007299270073,0,43,66,0.524293389395001,6753.48905660377,0.292682926829268,0.0833333333333333,0.0038309499126978,0.0147230270575718,0.0147230270575718,"Tabasco",134.15
"901",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",97.38
"902",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",105.29
"903",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",112.82
"904",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",119.78
"905",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",127.38
"906",27,2021,0.0280668558814254,0,16,67,0.492967332123412,6940.53958493467,0.292682926829268,0.0833333333333333,-0.000802924132884082,-0.0166030302140174,-0.0166030302140174,"Tabasco",134.15
"907",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",97.38
"908",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",105.29
"909",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",112.82
"910",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",119.78
"911",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",127.38
"912",27,2022,0.020730198019802,0,20,47,0.515144230769231,7731.64272056815,0.292682926829268,0.0833333333333333,-0.00813958199450752,0.00557386843180141,0.00557386843180141,"Tabasco",134.15
"913",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",98.19
"914",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",103.63
"915",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",111.21
"916",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",118.52
"917",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",127.88
"918",28,2017,0.0373859287606712,0,8,119,0.542040918163673,5971.69002060642,0.48780487804878,0.05,0.00432624150291779,-0.00513422201876823,-0.00513422201876823,"Tamaulipas",135.86
"919",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",98.19
"920",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",103.63
"921",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",111.21
"922",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",118.52
"923",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",127.88
"924",28,2018,0.0308098591549296,0,4,100,0.542271135567784,6445.97324613555,0.48780487804878,0.05,-0.00224982810282381,-0.0049040046146569,-0.0049040046146569,"Tamaulipas",135.86
"925",28,2019,0.0377179681576952,0,16,179,0.569243986254296,6767.3638996139,0.48780487804878,0.05,0.00465828089994183,0.0220688460718547,0.0220688460718547,"Tamaulipas",98.19
"926",28,2019,0.0377179681576952,0,16,179,0.569243986254296,6767.3638996139,0.48780487804878,0.05,0.00465828089994183,0.0220688460718547,0.0220688460718547,"Tamaulipas",103.63
"927",28,2019,0.0377179681576952,0,16,179,0.569243986254296,6767.3638996139,0.48780487804878,0.05,0.00465828089994183,0.0220688460718547,0.0220688460718547,"Tamaulipas",111.21
"928",28,2019,0.0377179681576952,0,16,179,0.569243986254296,6767.3638996139,0.48780487804878,0.05,0.00465828089994183,0.0220688460718547,0.0220688460718547,"Tamaulipas",118.52
"929",28,2019,0.0377179681576952,0,16,179,0.569243986254296,6767.3638996139,0.48780487804878,0.05,0.00465828089994183,0.0220688460718547,0.0220688460718547,"Tamaulipas",127.88
